Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-04-11_14;28;13_TolH_P3HT_DP240_JO_01.vdt
Sample ID	TolH P3HT DP240 JO
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Apr 11, 2019 - 14:28:13
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.28333	 3.067	17.729	110.187	84.857	-354.640	16.26881						
0.28667	 3.159	17.729	110.126	84.796	-354.762	16.26881						
0.29000	 3.113	17.729	110.141	84.796	-354.869	16.26820						
0.29333	 3.128	17.729	110.141	84.994	-354.915	16.26759						
0.29667	 3.204	17.729	110.111	84.979	-354.900	16.26698						
0.30000	 3.159	17.729	110.141	84.964	-354.869	16.26698						
0.30333	 3.098	17.729	110.141	84.918	-354.762	16.26759						
0.30667	 3.174	17.729	110.080	84.826	-354.686	16.26820						
0.31000	 3.159	17.729	110.141	84.704	-354.686	16.26820						
0.31333	 3.113	17.729	110.157	84.796	-354.732	16.26881						
0.31667	 3.159	20.122	110.096	84.918	-354.778	16.27003						
0.32000	 3.159	27.705	110.096	84.979	-354.884	16.27125						
0.32333	 3.113	35.288	110.126	84.964	-354.930	16.27186						
0.32667	 3.113	42.871	110.050	84.933	-354.930	16.27186						
0.33000	 3.159	50.454	110.080	84.857	-354.884	16.27186						
0.33333	 3.174	52.998	110.111	84.750	-354.808	16.27308						
0.33667	 3.189	45.415	110.111	84.811	-354.717	16.27430						
0.34000	 3.174	37.832	110.141	84.948	-354.717	16.27369						
0.34333	 3.189	30.249	110.157	84.948	-354.717	16.27369						
0.34667	 3.159	22.666	110.096	84.887	-354.717	16.27491						
0.35000	 3.113	17.729	110.111	84.887	-354.717	16.27613						
0.35333	 3.174	17.729	110.115	84.803	-354.717	16.27674						
0.35667	 3.220	17.729	110.096	84.765	-354.778	16.27674						
0.36000	 3.174	17.729	110.134	84.899	-354.854	16.27735						
0.36333	 3.204	17.729	110.134	85.051	-354.900	16.27857						
0.36667	 3.250	17.729	110.096	84.994	-354.946	16.27918						
0.37000	 3.143	17.729	110.080	84.964	-354.930	16.27918						
0.37333	 3.128	17.729	110.080	84.887	-354.808	16.27918						
0.37667	 3.204	17.729	110.034	84.811	-354.701	16.27918						
0.38000	 3.174	17.729	110.157	84.872	-354.640	16.27979						
0.38333	 3.159	17.729	110.141	85.025	-354.656	16.27979						
0.38667	 3.220	17.729	110.141	85.055	-354.747	16.27796						
0.39000	 3.189	17.729	110.111	85.055	-354.808	16.27613						
0.39333	 3.098	17.729	110.157	85.070	-354.808	16.27613						
0.39667	 3.128	17.729	110.080	84.948	-354.823	16.27613						
0.40000	 3.143	19.207	110.126	84.857	-354.778	16.27552						
0.40333	 3.143	22.916	110.141	84.872	-354.717	16.27491						
0.40667	 3.159	26.625	110.157	84.979	-354.732	16.27552						
0.41000	 3.204	30.334	110.111	85.009	-354.747	16.27613						
0.41333	 3.204	34.043	110.096	84.964	-354.747	16.27674						
0.41667	 3.128	36.212	110.111	84.964	-354.778	16.27613						
0.42000	 3.128	36.212	110.218	84.937	-354.762	16.27613						
0.42333	 3.174	36.212	110.263	84.861	-354.732	16.27674						
0.42667	 3.174	36.212	110.340	84.899	-354.747	16.27796						
0.43000	 3.143	36.212	110.324	84.994	-354.762	16.27796						
0.43333	 3.204	36.212	110.416	85.376	-354.793	16.27674						
0.43667	 3.174	36.212	110.294	84.892	-354.823	16.27552						
0.44000	 3.082	36.212	110.263	84.791	-354.793	16.27552						
0.44333	 3.128	36.212	110.187	84.613	-354.762	16.27552						
0.44667	 3.159	36.212	110.218	84.689	-354.762	16.27491						
0.45000	 3.143	32.953	110.096	84.796	-354.778	16.27491						
0.45333	 3.189	25.687	110.126	84.933	-354.808	16.27552						
0.45667	 3.235	18.420	110.126	84.948	-354.839	16.27674						
0.46000	 3.204	11.153	110.157	84.918	-354.823	16.27796						
0.46333	 3.143	 3.887	110.309	84.918	-354.808	16.27796						
0.46667	 3.189	 1.655	110.416	84.822	-354.732	16.27796						
0.47000	 3.204	 5.212	110.416	84.727	-354.640	16.27918						
0.47333	 3.189	 8.770	110.416	84.841	-354.625	16.28040						
0.47667	 3.174	12.327	110.248	85.131	-354.656	16.28040						
0.48000	 3.220	15.885	110.233	84.979	-354.701	16.27979						
0.48333	 3.189	17.729	110.111	84.964	-354.762	16.27979						
0.48667	 3.143	17.729	110.111	84.964	-354.778	16.28040						
0.49000	 3.220	17.729	110.126	84.887	-354.778	16.28101						
0.49333	 3.235	17.729	110.111	84.902	-354.808	16.28040						
0.49667	 3.189	17.729	110.126	84.964	-354.762	16.27918						
0.50000	 3.204	17.729	110.141	85.055	-354.717	16.27918						
0.50333	 3.220	17.729	110.157	85.025	-354.732	16.27979						
0.50667	 3.098	17.729	110.157	85.025	-354.686	16.27918						
0.51000	 3.113	17.729	110.172	84.918	-354.640	16.27796						
0.51333	 3.189	17.729	110.126	84.811	-354.701	16.27735						
0.51667	 3.174	19.639	110.157	84.780	-354.717	16.27796						
0.52000	 3.174	23.348	110.126	84.918	-354.701	16.27857						
0.52333	 3.235	27.057	110.141	84.979	-354.717	16.27857						
0.52667	 3.204	30.766	110.126	85.025	-354.732	16.27796						
0.53000	 3.128	34.475	110.157	85.025	-354.671	16.27857						
0.53333	 3.098	32.350	110.126	84.979	-354.625	16.27918						
0.53667	 3.113	25.083	110.126	84.872	-354.640	16.27918						
0.54000	 3.159	17.816	110.126	84.872	-354.701	16.27857						
0.54333	 3.143	10.550	110.157	84.948	-354.717	16.27796						
0.54667	 3.189	 3.283	110.141	85.009	-354.686	16.27796						
0.55000	 3.235	 0.000	110.233	85.025	-354.640	16.27857						
0.55333	 3.189	 0.000	110.279	85.009	-354.595	16.27857						
0.55667	 3.143	 0.000	110.248	84.918	-354.564	16.27735						
0.56000	 3.204	 0.000	110.218	84.811	-354.534	16.27674						
0.56333	 3.204	 0.000	110.233	84.780	-354.503	16.27674						
0.56667	 3.159	 2.009	110.141	84.841	-354.549	16.27674						
