Data File	C:\Users\Luscombe-G\Documents\GPC Data\04102019 New THF Calibration\2019-08-02_12;32;01_JO3-83_PostSox_P3MEGT_01.vdt
Sample ID	JO3-83 PostSox P3MEGT
Method File Name	THF PS Conv Calibration-0007.vcm
Date Acquired	Aug 02, 2019 - 12:32:01
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	System 1
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	22.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0.26667	 3.616	 0.000	110.706	84.918	-2494.888	21.06510						
0.27000	 3.662	 0.000	110.736	84.740	-2494.888	21.06510						
0.27333	 3.662	 0.000	110.736	84.948	-2494.888	21.06449						
0.27667	 3.647	 0.000	110.721	84.857	-2494.888	21.06326						
0.28000	 3.677	 0.000	110.706	84.979	-2494.888	21.06326						
0.28333	 3.754	-0.204	110.721	85.131	-2494.888	21.06388						
0.28667	 3.739	-1.071	110.782	85.299	-2494.888	21.06388						
0.29000	 3.723	-1.937	110.767	85.269	-2494.888	21.06326						
0.29333	 3.662	-2.804	110.752	85.192	-2494.888	21.06326						
0.29667	 3.647	-3.671	110.813	85.147	-2494.888	21.06449						
0.30000	 3.677	-4.535	110.950	85.070	-2494.888	21.06570						
0.30333	 3.708	-5.393	110.904	85.051	-2494.888	21.06631						
0.30667	 3.662	-6.252	110.782	85.147	-2494.888	21.06631						
0.31000	 3.723	-7.110	111.011	85.337	-2494.888	21.06754						
0.31333	 3.754	-7.968	110.954	84.918	-2494.888	21.06876						
0.31667	 3.723	-8.374	110.757	84.918	-2494.888	21.06937						
0.32000	 3.601	-7.516	110.731	84.841	-2494.888	21.06876						
0.32333	 3.647	-6.658	110.839	84.841	-2494.888	21.06815						
0.32667	 3.693	-5.800	110.763	85.051	-2494.888	21.06815						
0.33000	 3.677	-4.942	110.801	85.128	-2494.888	21.06876						
0.33333	 3.647	-4.081	110.904	85.128	-2494.888	21.06876						
0.33667	 3.769	-3.215	110.950	85.280	-2494.888	21.06815						
0.34000	 3.754	-2.348	110.981	85.185	-2494.888	21.06876						
0.34333	 3.677	-1.481	110.996	85.166	-2494.888	21.06937						
0.34667	 3.616	-0.615	110.950	85.013	-2494.888	21.06998						
0.35000	 3.662	 0.255	110.843	85.055	-2494.888	21.06998						
0.35333	 3.647	 1.130	110.843	84.994	-2494.888	21.06998						
